Date,Progress,p2,On this date overall,By this date overall,On this date curr,By this date curr,On this date ,Within 3 days ,Within 5 days ,Within 7 days
Sunday February 4th,40W, 6D ,3.33% ,72.57% ,7.2% ,40.4% ,12.1% ,32.9% ,50.5% ,64.7%
Monday February 5th,41W, 0D ,3.12% ,75.8% ,6.8% ,47.4% ,12.9% ,34.4% ,52.4% ,66.6%
Tuesday February 6th,41W, 1D ,2.9% ,78.81% ,6.3% ,54% ,13.7% ,36% ,54.3% ,68.5%
Wednesday February 7th,41W, 2D ,2.66% ,81.59% ,5.8% ,60% ,14.4% ,37.5% ,56.1% ,70.2%
Thursday February 8th,41W, 3D ,2.42% ,84.13% ,5.3% ,65.5% ,15.2% ,39% ,57.9% ,71.9%
Friday February 9th,41W, 4D ,2.18% ,86.43% ,4.7% ,70.5% ,16.1% ,40.5% ,59.6% ,73.5%
Saturday February 10th,41W, 5D ,1.94% ,88.49% ,4.2% ,75% ,16.9% ,42% ,61.3% ,75.1%
Sunday February 11th,41W, 6D ,1.71% ,90.32% ,3.7% ,79% ,17.7% ,43.4% ,62.9% ,76.4%
Monday February 12th,42W, 0D ,1.5% ,91.92% ,3.3% ,82.4% ,18.6% ,44.8% ,64.5% ,77.8%
Tuesday February 13th,42W, 1D ,1.3% ,93.32% ,2.8% ,85.5% ,19.5% ,46.3% ,65.9% ,79.2%
Wednesday February 14th,42W, 2D ,1.11% ,94.52% ,2.4% ,88.1% ,20.3% ,47.6% ,67.3% ,80.5%
Thursday February 15th,42W, 3D ,0.94% ,95.54% ,2% ,90.3% ,21.1% ,48.9% ,68.8% ,81.6%
Friday February 16th,42W, 4D ,0.79% ,96.41% ,1.7% ,92.2% ,22% ,50.1% ,70.2% ,82.7%
Saturday February 17th,42W, 5D ,0.66% ,97.13% ,1.4% ,93.8% ,23% ,51.6% ,71.4% ,83.6%
Sunday February 18th,42W, 6D ,0.54% ,97.72% ,1.2% ,95% ,23.7% ,53.1% ,72.8% ,84.6%
Monday February 19th,43W, 0D ,0.44% ,98.21% ,1% ,96.1% ,24.6% ,54.2% ,73.7% ,85.5%
Tuesday February 20th,43W, 1D ,0.35% ,98.61% ,0.8% ,97% ,25.2% ,55.4% ,74.8% ,86.3%
Wednesday February 21st,43W, 2D ,0.28% ,98.93% ,0.6% ,97.7% ,26.2% ,56.1% ,75.7% ,87.9%
Thursday February 22nd,43W, 3D ,0.22% ,99.18% ,0.5% ,98.2% ,26.8% ,57.3% ,76.8% ,-%
Friday February 23rd,43W, 4D ,0.18% ,99.38% ,0.4% ,98.7% ,29% ,58.1% ,79% ,-%
Saturday February 24th,43W, 5D ,0.14% ,99.53% ,0.3% ,99% ,29.8% ,59.6% ,-% ,-%
Sunday February 25th,43W, 6D ,0.1% ,99.65% ,0.2% ,99.2% ,28.6% ,62.9% ,-% ,-%
Monday February 26th,44W, 0D ,0.08% ,99.74% ,0.2% ,99.4% ,30.8% ,-% ,-% ,-%
Tuesday February 27th,44W, 1D ,0.06% ,99.81% ,0.1% ,99.6% ,31.6% ,-% ,-% ,-%
Wednesday February 28th,44W, 2D ,0.04% ,99.87% ,0.1% ,99.7% ,30.8% ,-% ,-% ,-%
